1;1;4;5;1;2024.06.14
2;3;2;1;3;2024.06.15
3;1;3;2;0;2024.06.19
4;4;3;1;1;2024.06.19
5;5;23;4;1;2024.06.30
6;1;10;2;0;2024.06.29
7;21;11;3;0;2024.07.01
8;14;18;1;0;2024.07.01
9;17;15;0;3;2024.07.02
10;13;22;1;2;2024.07.02
11;9;19;2;1;2024.06.30
12;2;6;2;0;2024.06.29
13;5;1;2;1;2024.07.05
14;21;14;3;5;2024.07.05
15;15;22;2;1;2024.07.06
16;9;2;5;3;2024.07.06
17;5;14;2;1;2024.07.09
18;15;9;1;2;2024.07.10
19;5;9;2;1;2024.07.14
